github_followers,github_public_repos,years_of_experience,skill_match_count,commit_frequency,repo_quality_score,collaboration_score,risk_category
51,39,10,7,1.3637110502945837,8.140669059512668,5.242859833747512,Medium Risk
92,38,11,0,1.9668855823121312,6.061095998529731,4.0826677392642585,Medium Risk
14,20,13,2,0.553323871633461,9.495374371136517,3.096805643514559,Medium Risk
71,9,3,0,1.9813074182357704,3.395289191306933,2.971171581278419,High Risk
60,37,12,8,0.09200897625379456,1.0814594233719865,3.0580258244947878,Medium Risk
20,45,9,1,6.272584006359782,5.065012010369253,8.848030809601958,Medium Risk
82,3,11,8,3.163754073876829,0.8581077170943885,7.237952301747855,Medium Risk
86,44,12,3,9.731447114269086,9.695265233240068,6.697230078311506,Low Risk
74,19,1,1,1.9371705077629786,0.3868495825719154,7.987491489520008,High Risk
74,16,14,3,3.458285703095939,7.5350390110730805,2.57114663004145,Medium Risk
87,6,2,9,3.5784115864153323,5.25102398142244,6.180428120817557,Medium Risk
99,3,5,5,0.0845149606246054,3.686206524982887,4.60066238957951,High Risk
23,28,7,6,8.39207953039459,0.6584216450865465,7.824416352001934,Medium Risk
2,13,7,2,0.3199446014432472,6.221669241736078,3.092561104732855,High Risk
21,2,14,2,9.401798347292413,5.852203293909552,6.431786168698958,Medium Risk
52,23,10,9,8.920743510936207,2.8088327306759977,8.822124118173134,Medium Risk
1,36,14,7,5.355219160859636,9.102217014103122,4.021504761949287,Low Risk
87,15,8,4,5.435955749112921,3.041100073428369,0.6662208736746145,High Risk
29,3,6,3,6.537779229561563,4.497254105921061,5.160508223417928,High Risk
37,23,12,6,3.8705001193488697,5.437624559186557,3.4597248780702596,Medium Risk
1,33,1,6,6.472222833978555,1.002318781762861,6.72225380547175,Medium Risk
63,29,7,8,0.4476838868848687,9.321617192136323,9.51032924748606,Medium Risk
59,17,6,8,0.5404762734972657,3.745361524510411,4.85608317996847,Medium Risk
20,18,7,4,4.572304196195444,0.8077921387434361,4.6619023015553385,Medium Risk
32,30,11,7,5.49622301106035,3.8729117367532995,6.545848001914603,Medium Risk
75,18,2,9,8.87817640335819,6.0020254709258065,1.0349750359356769,Medium Risk
57,48,6,0,1.0466063390789626,5.136526718213296,2.535061889250146,High Risk
21,45,9,8,8.226479271938894,6.94541974037274,9.189793255003986,Low Risk
88,18,12,7,2.100473372920696,0.5548394206791063,6.699426133637663,Medium Risk
48,21,8,5,3.9408364851003186,2.8454061027205615,0.13444043983416254,High Risk
90,23,2,2,3.166024348274129,8.192305768401022,2.046254725590199,High Risk
58,44,13,2,4.00155272865399,0.7989368779136086,6.8283726602889905,Medium Risk
41,11,9,7,1.5049549807258555,8.554859546959575,7.643992025625742,Medium Risk
91,29,5,4,5.03570074403555,0.9189609207710625,8.39859572674042,Medium Risk
59,37,1,9,8.016425898313672,8.344542148916963,2.921768033820449,Medium Risk
79,30,1,6,4.415340103788969,3.6078840107872665,9.310285962775627,Medium Risk
14,35,4,4,4.906135758981991,6.122090632572158,5.529468935778924,Medium Risk
61,18,4,7,8.487675852813142,1.5288711564799817,6.965390223878929,Medium Risk
61,47,12,9,7.060581146380308,0.6616872172518085,5.96738862779908,Medium Risk
46,44,6,9,4.9045440851978475,2.1593820402013506,1.2274005467462046,Medium Risk
61,35,11,3,2.5769564818917967,1.2785381790869554,9.631146593848799,Medium Risk
50,29,1,1,8.849267468449666,3.124058976796318,1.2287557989415265,High Risk
54,48,10,2,5.770204016905583,5.143832465110202,2.5488195641118363,Medium Risk
63,32,13,7,2.2114761011069337,5.887594635650095,8.136278802229802,Medium Risk
2,17,12,6,2.691197526380104,7.8986810737974285,6.185969615011015,Medium Risk
50,48,6,1,8.03133088936246,6.562398932483586,8.38149165376357,Medium Risk
6,27,4,5,0.4414556208745546,6.08758325129553,5.157361883740449,High Risk
20,46,13,8,9.9209218702882,4.117820274857746,3.7699323536663485,Low Risk
72,10,5,3,1.3035167971479178,4.738084349601387,9.218454995477849,High Risk
38,44,7,8,7.960685253969374,4.145208293901811,0.3625231751479485,Medium Risk
17,32,9,1,3.9477531677168285,8.421660300613832,8.56130220353046,Medium Risk
3,16,12,1,4.922161832874669,2.3000045254839985,2.308177851877816,Medium Risk
88,5,13,8,8.806505774645778,0.057209315419646245,8.487363277539679,Medium Risk
59,3,11,6,4.129111895892132,6.513198972262392,1.391966134168856,Medium Risk
13,19,3,6,5.374937536732345,2.024621836388314,5.802189636905405,High Risk
8,47,12,0,0.4929966240916994,8.901151363098093,8.88107919011472,Medium Risk
89,46,6,5,0.023474738674531537,8.590463297066561,4.735396468988905,Medium Risk
52,26,5,6,2.447998730017259,0.7672737192820589,7.46566673803393,Medium Risk
1,14,9,5,6.805830929187673,1.0638840541407735,8.046716178555585,Medium Risk
83,5,1,5,1.212648933591367,4.951715922466663,7.364942087167792,High Risk
91,46,14,1,1.1376195880454942,6.092226627693547,9.253297368745983,Medium Risk
59,13,7,5,4.109606080359033,2.7490833748224075,4.468342305199286,High Risk
70,10,9,3,6.478370386082265,7.1679771669937065,1.7312543916515577,Medium Risk
43,38,8,8,7.120719922479305,5.949160209188715,0.47811063702479784,Medium Risk
7,8,4,0,1.7845067409837478,3.248241097485547,2.464598696375051,High Risk
46,25,9,7,0.7958814737204245,0.25371488042315593,1.431975038802421,High Risk
34,15,3,4,9.403970339455443,7.501502812985176,5.579487414344805,Medium Risk
77,4,5,0,2.606663825621017,2.147536658250827,1.84945337211732,High Risk
80,9,7,3,8.533464976087238,8.344737434626284,0.3893370728937118,Medium Risk
35,49,10,0,8.634914504628183,4.202902600542552,0.3598982886866786,Medium Risk
49,2,14,5,7.725225917625444,5.770774426317654,8.315694983648616,Medium Risk
3,12,2,1,1.6883360665257008,8.72948730409002,5.914499314430248,High Risk
1,42,9,4,8.218014592542003,8.636230009199533,3.580853018933782,Medium Risk
5,48,10,6,7.692505592415867,3.715195752435733,8.94228042740247,Medium Risk
53,29,10,1,5.967229901062171,2.088888927148431,0.701966114077136,High Risk
3,44,0,5,3.3720203516895273,7.7514607772859465,9.803220727278259,Medium Risk
53,5,3,5,2.625086042665441,4.3308020360213115,6.16291790254461,High Risk
92,16,14,4,1.2188921208035897,1.9204199355900409,1.8346425396884847,Medium Risk
62,44,3,4,5.097570669008714,9.044253423171503,6.790690989769685,Medium Risk
17,18,0,2,5.852608755098466,1.9810419424108738,7.633812597835626,High Risk
89,41,8,9,3.5933899051578724,0.2580716819123108,4.293427833707745,Medium Risk
43,34,2,9,4.7535906768086855,0.20279973767419968,8.616326062455474,Medium Risk
33,45,4,1,3.635144573692667,6.223153564542643,1.507324072964703,High Risk
73,25,5,6,6.410060573207012,6.6167506071753035,2.7883758357760833,Medium Risk
61,4,7,0,9.012592077965634,3.110417050569839,0.9349236158398977,High Risk
99,28,5,5,1.6392026204694488,3.2001098924706337,2.1087784060735215,High Risk
13,36,2,5,3.8140880990312342,3.3949391505994275,2.3872881191114503,High Risk
94,19,5,2,1.4086860395086132,6.801585467588787,9.176331909217101,High Risk
47,48,0,1,6.2494377040783196,0.5813379102682859,0.781096887511562,High Risk
14,20,3,1,7.288705094885958,9.291163526913257,4.274151201877094,Medium Risk
71,9,5,8,9.31912732597456,2.2252104417744647,5.3239868722691295,Medium Risk
77,4,6,4,2.788719262609649,9.996732052420922,8.986930538021609,Medium Risk
86,35,10,6,9.502112058654301,1.7152269378718699,9.976962186612134,Medium Risk
61,5,12,4,0.632626718206748,7.715464573123775,7.533881149198358,Medium Risk
39,25,10,6,6.0301386336458815,2.2341254492962506,9.707909905690295,Medium Risk
84,3,9,3,0.5713271934332997,0.8084680164325397,7.8710113253587375,High Risk
79,38,2,7,8.937741877619448,8.749333243506488,9.632026409714166,Medium Risk
81,38,8,9,5.298090570700541,8.587512591908919,7.0727072594445515,Low Risk
52,49,11,9,6.693483507627961,4.035703924496014,0.7976342545107107,Medium Risk
23,34,11,6,8.315739259104525,7.023961425404268,4.019201869926765,Medium Risk
25,0,6,9,1.5031062248396876,5.570659326839172,6.465972838024704,Medium Risk
88,23,13,4,0.38591561938133845,8.529561136737488,3.5071850945425096,Medium Risk
59,35,0,5,8.788811459128521,3.150559693186544,2.7338391811377862,High Risk
40,5,1,4,3.149332274589325,5.236723999989852,5.77399267133091,High Risk
28,40,0,6,1.2897890792716526,4.853723712045505,9.33501876702435,Medium Risk
14,45,10,1,4.684612370870865,3.539058262568587,0.3498187351615356,Medium Risk
44,43,8,4,5.983060756960188,8.914550645563722,7.692312035414377,Medium Risk
64,30,8,9,0.30970603422510123,1.6587792466253548,7.227272780446271,Medium Risk
88,19,6,2,2.7489565825708775,1.4950863952069615,9.639534253882871,High Risk
70,23,9,8,0.3279987427689601,5.769095353227513,9.307112223325436,Medium Risk
8,24,2,5,4.20335389195499,6.57494229984942,7.622325620441929,Medium Risk
87,35,12,9,8.951000290662442,1.9461925432456517,5.204087646825987,Low Risk
0,20,14,2,9.826524114935692,3.907174422546241,2.0426755323351986,Medium Risk
7,29,4,6,6.370475535036276,9.465638429787438,5.452357183255744,Medium Risk
87,23,14,3,1.616376937845918,2.46617422690674,7.6535199391965385,Medium Risk
62,43,3,2,9.058493899993058,6.683607021173941,8.95669212637893,Medium Risk
10,41,6,7,5.162478232000605,7.401493936975908,7.8971200921054905,Medium Risk
80,29,13,3,1.537493121029181,4.481286994651596,1.9526693519105398,Medium Risk
7,21,8,0,9.217266694516614,9.37525986759583,5.996863142280594,Medium Risk
34,27,11,5,7.57469050723103,7.366567352187905,3.32173459531357,Medium Risk
34,6,1,9,7.317052727231515,4.579245798608978,0.09205667390642991,High Risk
32,34,12,0,7.091807037944047,5.69335201776094,2.0022093578866604,Medium Risk
4,27,7,4,2.0033982109644235,6.926134434251007,1.1322064993344927,Medium Risk
40,13,14,6,2.110066917075261,5.921901804292182,8.427191235394686,Medium Risk
27,9,8,5,6.88292998427255,8.786975838260759,2.58506252147812,Medium Risk
6,15,9,1,2.197227501103969,3.568886622804012,2.846979688875555,High Risk
72,15,13,3,4.3867169680304885,2.998857400558049,9.599365717988842,Medium Risk
71,30,9,1,7.820018255939414,2.138388894952643,3.7908672304885216,Medium Risk
11,41,8,0,7.839525180978409,0.37782968064595135,0.09585640144394558,High Risk
33,24,13,2,4.532617725258596,0.43013964380055336,2.8384614834613653,Medium Risk
32,12,9,2,7.921899382752451,8.700551931092829,1.1929958060181245,Medium Risk
